,Team,AT,HASH
274,Southeastern Louisiana,@SLUFootball,#LionUp
275,Southern,@SouthernUsports,#SouthernU
276,Southern Illinois,@SIU_Football,#SIU
277,Southern Miss,@SouthernMissFB,#SouthernMiss
278,Southern Utah,@SUUFB,#SUU
279,St. Bonaventure,,
280,St. Francis (NY),,
281,St. Francis (PA),@RedFlashFB,#SFU
282,St. John’s,,
283,Stanford,@StanfordFball,#Stanford
284,Stephen F. Austin,@SFA_Football,#SFA
285,Stetson,@StetsonFootball,#Stetson
286,Stony Brook,@StonyBrookFB,#StonyBrook
287,Syracuse,@CuseFootball,#Syracuse
288,Tarleton State,@TarletonFB,#TexanNation
289,TCU,@TCUFootball,#GoFrogs
290,Temple,@Temple_FB,#Temple
291,Tennessee,@Vol_Football,#Vols
292,Tennessee State,@TSU_Football,#TSUTigers
293,Tennessee Tech,@TNTechFootball,#TNTech
294,Tennessee-Martin,@UTM_Football,#UTMartin
295,Texas,@TexasFootball,#HookEm
296,Texas A&M,@AggieFootball,#GigEm
297,Texas A&M-Corpus Christi,,
298,Texas Southern,@TSUFootball,#TexasSouthern
299,Texas State,@TXStateFootball,#TexasState
300,Texas Tech,@TexasTechFB,#RedRaiders
301,Texas-Arlington,,
302,The Citadel,@CitadelFootball,#Citadel
303,Toledo,@ToledoFB,#GoRockets
304,Towson,@Towson_FB,#Towson
305,Troy,@TroyTrojansFB,#Troy
306,Tulane,@GreenWaveFB,#RollWave
307,Tulsa,@TulsaFootball,#TulsaFB
308,UAB,@UAB_FB,#UAB
309,UC-Davis,@UCDFootball,#UCDavis
310,UC-Irvine,,
311,UC-Riverside,,
312,UC-San Diego,,
313,UC-Santa Barbara,,
314,UCLA,@UCLAFootball,#UCLAFootball
315,UMass-Lowell,,
316,UMBC,,
317,UMKC,,#UMKC
318,UNC-Asheville,,
319,UNC-Greensboro,,
320,UNC-Wilmington,,
321,UNLV,@UNLVFootball,#UNLV
322,USC,@USC_FB,#FightOn
