Home,Away,Year,ID,Home_Team,Away_Team
5.0,1.0,1883.0,242.0,Stevens,Michigan
6.0,6.0,1883.0,243.0,Stevens,Pennsylvania
23.0,2.0,1883.0,244.0,Yale,Harvard
0.0,59.0,1883.0,245.0,Lewisburg A.C.,Lafayette
31.0,0.0,1884.0,246.0,Yale,Wesleyan (CT)
0.0,4.0,1884.0,247.0,Stevens,Princeton
5.0,23.0,1884.0,248.0,Rutgers,Princeton
96.0,0.0,1884.0,249.0,Yale,Stevens
22.0,2.0,1884.0,250.0,Princeton,Wesleyan (CT)
35.0,5.0,1884.0,251.0,Rutgers,Columbia
63.0,0.0,1884.0,254.0,Yale,Wesleyan (CT)
35.0,0.0,1884.0,253.0,Princeton,Rutgers
43.0,5.0,1884.0,252.0,Harvard,MIT
15.0,0.0,1884.0,255.0,Stevens,Stevens Alumni
0.0,4.0,1884.0,256.0,Harvard,Pennsylvania
10.0,76.0,1884.0,257.0,Rutgers,Yale
0.0,113.0,1884.0,261.0,Dartmouth,Yale
0.0,31.0,1884.0,260.0,Pennsylvania,Princeton
50.0,0.0,1884.0,259.0,Lafayette,Lehigh
0.0,42.0,1884.0,258.0,MIT,Harvard
0.0,11.0,1884.0,264.0,Stevens,Wesleyan (CT)
67.0,0.0,1884.0,262.0,Harvard,Trinity (CT)
140.0,0.0,1884.0,263.0,Princeton,Lafayette
58.0,0.0,1884.0,266.0,Princeton,Stevens
21.0,0.0,1884.0,265.0,Pennsylvania,Lafayette
61.0,0.0,1884.0,267.0,Rutgers,Lehigh
16.0,0.0,1884.0,268.0,Wesleyan (CT),Harvard
23.0,0.0,1884.0,269.0,Harvard,Williams
46.0,0.0,1884.0,270.0,Yale,Wesleyan (CT)
30.0,0.0,1884.0,272.0,Pennsylvania,Stevens
6.0,20.0,1884.0,271.0,Ottawa,Harvard
57.0,0.0,1884.0,273.0,Princeton,Johns Hopkins
26.0,0.0,1884.0,274.0,Rutgers,Lafayette
4.0,34.0,1884.0,276.0,Lehigh,Lafayette
0.0,29.0,1884.0,275.0,Dartmouth,Harvard
33.0,0.0,1884.0,279.0,Pennsylvania,Johns Hopkins
31.0,0.0,1884.0,281.0,Wesleyan (CT),Rutgers
4.0,18.0,1884.0,280.0,Lafayette,Stevens
12.0,36.0,1884.0,278.0,Lehigh,Haverford
51.0,0.0,1884.0,277.0,Harvard,Tufts
24.0,4.0,1884.0,282.0,Stevens,Yale/Princeton/Harvard Grads
18.0,0.0,1884.0,284.0,Yale,Yale Alumni
6.0,36.0,1884.0,283.0,Harvard,Princeton
16.0,16.0,1884.0,285.0,Pennsylvania Alumni,Pennsylvania
52.0,0.0,1884.0,286.0,Yale,Harvard
52.0,0.0,1884.0,288.0,Stevens,Lafayette
14.0,12.0,1884.0,287.0,Pennsylvania,Wesleyan (CT)
0.0,0.0,1884.0,289.0,Yale,Princeton
0.0,94.0,1885.0,290.0,Stevens,Princeton
42.0,0.0,1885.0,291.0,Pennsylvania,Pennsylvania Alumni
54.0,0.0,1885.0,292.0,Pennsylvania,Lehigh
80.0,0.0,1885.0,293.0,Wesleyan (CT),UMass
0.0,55.0,1885.0,294.0,Stevens,Yale
68.0,6.0,1885.0,295.0,Pennsylvania,Swarthmore
76.0,0.0,1885.0,296.0,Princeton,Stevens
18.0,0.0,1885.0,297.0,Yale,Wesleyan (CT)
24.0,8.0,1885.0,298.0,Haverford,Lehigh
6.0,5.0,1885.0,299.0,Pennsylvania,Pennsylvania Alumni
16.0,12.0,1885.0,300.0,Lafayette,Stevens
0.0,57.0,1885.0,301.0,Pennsylvania,Princeton
54.0,10.0,1885.0,302.0,Pennsylvania,Lafayette
71.0,0.0,1885.0,303.0,Yale,Wesleyan (CT)
0.0,0.0,1885.0,304.0,Lafayette,Lehigh
80.0,10.0,1885.0,305.0,Princeton,Pennsylvania
60.0,0.0,1885.0,306.0,Wesleyan (CT),Trinity (CT)
0.0,51.0,1885.0,307.0,MIT,Yale
162.0,0.0,1885.0,308.0,Stevens,City College of New York
52.0,0.0,1885.0,309.0,Yale,Crescent A.C.
10.0,5.0,1885.0,310.0,Lehigh,Rutgers
22.0,30.0,1885.0,311.0,Lafayette,Pennsylvania
0.0,64.0,1885.0,312.0,Columbia Law,Princeton
4.0,20.0,1885.0,313.0,Lehigh,Stevens
25.0,18.0,1885.0,314.0,Wesleyan (CT),Pennsylvania
18.0,23.0,1885.0,315.0,Stevens,Lafayette
10.0,0.0,1885.0,316.0,Princeton,Johns Hopkins
76.0,0.0,1885.0,317.0,Princeton,Wesleyan (CT)
0.0,86.0,1885.0,318.0,City College of New York,Stevens
5.0,53.0,1885.0,319.0,Pennsylvania,Yale
35.0,0.0,1885.0,320.0,Pennsylvania,Lehigh
6.0,6.0,1885.0,321.0,Lehigh,Lafayette
9.0,23.0,1885.0,322.0,Stevens,Pennsylvania
5.0,6.0,1885.0,323.0,Yale,Princeton
10.0,76.0,1885.0,324.0,Pennsylvania,Princeton
61.0,0.0,1885.0,325.0,Yale,Wesleyan (CT)
61.0,0.0,1886.0,326.0,Williams,Tufts
64.0,0.0,1886.0,327.0,Pennsylvania,Falls of Schuylkill
18.0,0.0,1886.0,329.0,Pennsylvania,Tioga
14.0,14.0,1886.0,330.0,Williams,MIT
0.0,82.0,1886.0,328.0,Tufts,Harvard
4.0,33.0,1886.0,332.0,Tufts,Williams
0.0,54.0,1886.0,331.0,MIT,Harvard
75.0,0.0,1886.0,333.0,Yale,Wesleyan (CT)
46.0,0.0,1886.0,334.0,Harvard,Tufts
0.0,62.0,1886.0,338.0,Wesleyan (CT),Yale
21.0,0.0,1886.0,337.0,Williams,MIT
58.0,0.0,1886.0,336.0,Princeton,Stevens
26.0,4.0,1886.0,335.0,Pennsylvania,Lehigh
4.0,18.0,1886.0,339.0,Tufts,Amherst College
12.0,20.0,1886.0,340.0,Swarthmore,Lafayette
6.0,61.0,1886.0,342.0,Stevens,Princeton
4.0,0.0,1886.0,341.0,Pennsylvania,Pennsylvania Alumni
18.0,11.0,1886.0,343.0,Andover,Dartmouth
96.0,0.0,1886.0,348.0,Yale,MIT
0.0,30.0,1886.0,346.0,Pennsylvania,Princeton
28.0,2.0,1886.0,345.0,Lafayette,Rutgers
44.0,0.0,1886.0,344.0,Harvard,Stevens
47.0,0.0,1886.0,347.0,Wesleyan (CT),Amherst College
24.0,5.0,1886.0,349.0,Lafayette,Dickinson
6.0,6.0,1886.0,350.0,Philadelphia All-Stars,Pennsylvania
