,MAX,MIN
1059,10,6
1060,58,0
1061,6,0
1062,24,0
1063,20,8
1064,26,10
1065,22,12
1066,8,6
1067,30,0
1068,18,15
1069,50,0
1070,26,4
1071,46,0
1072,54,6
1073,24,0
1074,24,12
1075,34,0
1076,42,0
1077,24,10
1078,62,0
1079,32,4
1080,24,0
1081,10,8
1082,12,10
1083,60,0
1084,40,6
1085,44,0
1086,32,10
1087,12,6
1088,6,4
1089,12,0
1090,22,6
1091,22,4
1092,18,16
1093,12,10
1094,20,14
1095,38,0
1096,4,0
1097,60,8
1098,48,12
1099,6,4
1100,68,0
1101,16,8
1102,0,0
1103,72,0
1104,6,6
1105,44,0
1106,10,4
1107,18,12
1108,4,0
1109,48,0
1110,14,0
1111,21,8
1112,8,0
1113,44,12
1114,16,12
1115,30,0
1116,12,12
1117,18,10
1118,18,0
1119,28,0
1120,12,10
1121,10,4
1122,10,4
1123,4,0
1124,16,0
1125,34,0
1126,14,0
1127,6,0
1128,24,12
1129,15,6
1130,26,24
1131,40,0
1132,23,0
1133,38,0
1134,18,16
1135,26,6
1136,6,0
1137,30,10
1138,18,0
1139,30,2
1140,28,12
1141,21,0
1142,34,0
1143,32,6
1144,20,6
1145,12,0
1146,46,12
1147,12,4
1148,40,0
1149,14,14
1150,50,0
1151,16,0
1152,60,6
1153,52,0
1154,26,0
1155,48,0
1156,20,0
1157,6,4
1158,16,14
1159,20,0
1160,26,0
1161,16,6
1162,8,0
1163,54,0
1164,6,0
1165,6,0
1166,74,0
1167,14,0
1168,16,0
1169,18,0
1170,36,0
1171,14,4
1172,30,0
1173,16,0
1174,32,0
1175,14,4
1176,6,0
1177,30,0
1178,12,0
1179,18,0
1180,16,0
1181,16,0
1182,20,6
1183,12,0
1184,26,0
1185,34,0
1186,34,0
1187,22,4
1188,12,10
1189,6,0
1190,22,0
1191,18,6
1192,52,0
1193,10,0
1194,18,0
1195,26,0
1196,12,6
1197,6,0
1198,34,0
1199,26,0
1200,64,0
1201,18,12
1202,16,16
1203,28,0
1204,34,0
1205,12,6
1206,36,0
1207,32,6
1208,8,4
1209,46,0
1210,12,4
1211,18,12
1212,10,0
1213,10,6
1214,6,0
1215,0,0
1216,36,6
1217,40,0
1218,46,0
1219,96,0
1220,12,12
1221,24,0
1222,50,0
1223,6,0
1224,16,2
1225,58,0
1226,12,10
1227,10,6
1228,18,6
1229,28,6
1230,20,10
1231,82,0
1232,12,12
1233,18,0
1234,26,0
1235,10,4
1236,10,10
1237,60,5
1238,12,6
1239,38,0
1240,34,20
1241,82,0
1242,76,0
1243,46,6
1244,18,0
1245,28,0
1246,16,0
1247,34,4
1248,20,0
1249,18,12
1250,6,0
1251,36,0
1252,34,0
1253,20,0
1254,10,6
1255,33,12
1256,4,0
1257,48,8
1258,34,18
1259,10,0
1260,16,0
1261,34,24
1262,26,16
1263,42,0
1264,12,4
1265,6,6
1266,22,6
1267,6,0
1268,14,6
1269,66,0
1270,18,11
1271,28,6
1272,18,6
1273,14,4
1274,10,0
1275,18,16
1276,14,0
1277,46,8
1278,40,0
1279,54,0
1280,38,22
1281,8,0
1282,30,12
1283,14,6
1284,34,0
1285,18,12
1286,22,6
1287,30,6
1288,34,0
1289,14,14
1290,10,0
1291,72,6
1292,50,0
1293,36,4
1294,18,6
1295,12,6
1296,36,30
1297,14,6
1298,18,6
1299,26,26
1300,34,0
1301,22,0
1302,46,6
1303,6,0
1304,26,4
1305,10,10
1306,28,10
1307,6,0
1308,42,18
1309,6,4
1310,22,14
1311,8,0
1312,4,0
1313,32,0
1314,22,0
1315,18,6
1316,46,0
1317,39,0
1318,6,0
1319,10,5
1320,56,0
1321,12,4
1322,22,0
1323,28,0
1324,24,0
1325,40,0
1326,28,0
1327,30,0
1328,42,0
1329,48,0
1330,36,0
1331,34,0
1332,8,0
1333,28,0
1334,18,0
1335,34,0
1336,28,0
1337,46,0
1338,37,0
1339,46,0
1340,36,6
1341,44,0
1342,16,10
1343,12,12
1344,66,0
1345,6,4
1346,12,10
1347,8,4
1348,8,0
1349,22,4
1350,10,0
1351,16,0
1352,16,6
1353,18,4
1354,33,0
1355,22,0
1356,48,0
1357,23,4
1358,14,0
1359,28,0
1360,10,0
1361,16,0
1362,14,0
1363,24,0
1364,24,6
1365,26,10
1366,46,0
1367,12,0
1368,30,0
1369,10,0
1370,18,0
1371,34,0
1372,6,0
1373,20,0
1374,14,0
1375,48,0
1376,12,0
1377,30,0
1378,6,0
1379,34,0
1380,42,0
1381,42,6
1382,14,0
1383,12,0
1384,30,0
1385,54,6
1386,22,12
1387,12,0
1388,10,2
1389,72,0
1390,80,10
1391,12,4
1392,36,0
1393,16,0
1394,30,0
1395,24,0
1396,40,6
1397,28,0
1398,26,0
1399,30,0
1400,32,0
1401,46,0
1402,46,0
1403,22,6
1404,23,0
1405,12,8
1406,14,6
1407,10,4
1408,22,12
1409,16,4
1410,42,0
1411,22,12
1412,18,18
1413,24,0
1414,8,4
1415,12,0
1416,32,0
1417,4,0
1418,6,0
1419,4,0
1420,12,5
1421,18,8
1422,14,0
1423,44,0
1424,30,0
1425,26,0
1426,24,6
1427,26,0
1428,12,0
1429,42,0
1430,6,0
1431,30,0
1432,22,0
1433,14,0
1434,40,0
1435,16,0
1436,66,0
1437,18,6
1438,18,0
1439,40,0
1440,10,6
1441,34,6
1442,46,0
1443,44,0
1444,12,0
1445,4,0
1446,12,10
1447,34,10
1448,67,0
1449,22,0
1450,0,0
1451,28,0
1452,10,0
1453,36,0
1454,16,0
1455,22,12
1456,40,0
1457,12,0
1458,10,0
1459,32,6
1460,50,0
1461,10,0
1462,0,0
1463,28,0
1464,48,0
1465,30,0
1466,18,0
1467,14,6
1468,6,0
1469,16,4
1470,22,2
1471,4,0
1472,20,0
1473,6,0
1474,42,0
1475,20,10
1476,6,4
1477,20,10
1478,20,4
1479,36,0
1480,18,14
1481,11,8
1482,12,4
1483,44,0
1484,12,4
1485,16,4
1486,4,0
1487,10,6
1488,10,0
1489,44,0
1490,6,4
1491,18,4
1492,28,0
1493,6,4
1494,24,0
1495,24,4
1496,12,0
1497,6,0
1498,52,0
1499,28,0
1500,42,6
1501,12,10
1502,28,0
1503,12,6
1504,24,0
1505,8,0
1506,6,0
1507,42,0
1508,22,0
1509,8,0
1510,50,0
1511,36,0
1512,6,0
1513,25,0
1514,20,0
1515,14,0
1516,10,0
1517,4,0
1518,8,0
1519,28,6
1520,40,0
1521,4,0
1522,40,0
1523,38,0
1524,4,0
1525,16,0
1526,50,0
1527,52,0
1528,10,6
1529,6,4
1530,24,0
1531,48,0
1532,12,0
1533,34,0
1534,34,6
1535,0,0
1536,42,0
1537,22,0
1538,28,0
1539,26,0
1540,30,6
1541,32,4
1542,26,0
1543,14,0
1544,10,10
1545,42,0
1546,32,0
1547,36,0
1548,36,0
1549,12,10
1550,28,0
1551,8,0
1552,12,4
1553,38,0
1554,4,0
1555,6,0
1556,42,0
1557,6,0
1558,44,0
1559,14,0
1560,32,0
1561,22,0
1562,26,5
1563,8,2
1564,54,0
1565,16,14
1566,32,0
1567,36,0
1568,38,0
1569,26,0
1570,35,0
1571,20,0
1572,30,0
1573,26,6
1574,79,0
1575,6,0
1576,6,0
1577,64,0
1578,24,0
1579,16,6
1580,22,6
1581,54,0
1582,10,4
1583,64,0
1584,46,6
1585,28,10
1586,14,4
1587,16,4
1588,24,12
1589,30,0
1590,14,0
1591,24,4
1592,12,0
1593,30,0
1594,16,0
1595,10,6
1596,54,0
1597,56,0
1598,6,0
1599,0,0
1600,22,4
1601,43,0
1602,25,0
1603,10,10
1604,6,0
1605,40,0
1606,10,6
1607,30,0
1608,22,0
1609,16,10
1610,24,0
1611,16,0
1612,16,4
1613,52,0
1614,12,0
1615,0,0
1616,4,0
1617,32,0
1618,24,0
1619,12,4
1620,16,4
1621,10,5
1622,22,12
1623,38,0
1624,42,0
1625,40,0
1626,24,6
1627,2,0
1628,12,4
1629,30,0
1630,20,0
1631,14,10
1632,28,8
1633,16,0
1634,6,4
1635,18,0
1636,14,0
1637,20,0
1638,4,0
1639,22,12
1640,22,18
1641,35,4
1642,6,0
1643,18,0
1644,6,0
1645,14,6
1646,6,6
1647,28,0
1648,30,0
1649,20,4
1650,16,0
1651,0,0
1652,6,0
1653,6,4
1654,10,5
1655,26,0
1656,6,4
1657,12,10
1658,14,10
1659,6,4
1660,14,6
1661,26,0
1662,26,0
1663,20,0
1664,38,4
1665,14,6
1666,20,0
1667,6,0
1668,17,14
1669,6,0
1670,20,10
1671,68,0
1672,18,0
1673,10,4
1674,10,0
1675,12,0
1676,14,0
1677,46,2
1678,6,2
1679,24,0
1680,24,0
1681,47,0
1682,34,0
1683,12,0
1684,4,0
1685,20,0
1686,10,0
1687,28,6
1688,46,0
1689,6,0
1690,6,0
1691,44,0
1692,14,0
1693,50,0
1694,40,0
1695,24,0
1696,6,0
1697,32,0
1698,12,4
1699,12,0
1700,20,0
1701,27,0
1702,0,0
1703,18,0
1704,43,0
1705,22,0
1706,30,0
1707,40,0
1708,24,0
1709,34,0
1710,38,0
1711,18,0
1712,16,6
1713,4,0
1714,10,4
1715,40,0
1716,44,0
1717,36,0
1718,6,0
1719,5,0
1720,34,0
1721,18,0
1722,6,0
1723,42,0
1724,8,0
1725,0,0
1726,12,4
1727,18,0
1728,6,6
1729,22,0
1730,44,6
1731,6,0
1732,48,0
1733,28,0
1734,70,4
1735,44,0
1736,12,0
1737,49,0
1738,8,0
1739,16,0
1740,16,0
1741,32,4
